JID,Composition,Spg.numb.,Spg.symb.,Cryst.,Dimensionality,OPT SCF gap, MBJ gap,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,n-cond,p-cond,n-ZT,p-ZT,Avg.elec.mass,Avg.hole mass,n-mp-Seeb,p-mp-Seeb
JVASP-10240,KAlSiO4,173,P6_3,hexagonal,3D,4.7497,7.5089,-107.9876733,453.5999467,743.6384725,1118.521843,65471.69833,6057.474567,0.239988123,0.643876225,0.452607518,0.452607518,-119.0621067,395.0072267
JVASP-10241,TeO2,19,P2_12_12_1,orthorhombic,3D,3.1115,na,-246.26606,388.2078767,2198.887765,1078.141313,37194.854,7090.795733,0.953344698,0.611072805,0.775453472,0.775453472,-273.6973467,361.0302233
JVASP-10242,Tl3SbS4,2,P-1,triclinic,3D,1.3445,na,-190.82724,293.2285867,1270.949696,1387.58915,32672.71133,16274.42977,0.554051085,0.716717046,0.634917309,0.634917309,-235.4571033,305.20316
JVASP-10243,CePO4,180,P6_222,hexagonal,3D,0.0015,0.0002,-32.43569163,-33.3488772,8.828705623,9.155992802,9204.083967,9178.860333,0.004988967,0.005175106,0.000350523,0.000350523,na,na
JVASP-10244,K2CuF4,64,Cmce,orthorhombic,3D,0.0024,0.0533,-128.5604867,22.55487667,482.3492805,159.7482431,37748.95433,36273.81933,0.072901365,0.023039442,0.015859603,0.015859603,na,na
JVASP-10245,CaTiF5,15,C2/c,monoclinic,3D,0.0585,na,-104.4535047,-98.52763567,529.2735642,375.3165395,21066.2755,17995.70883,0.132508387,0.089228906,0.005693356,0.005693356,-147.1046073,-117.786796
JVASP-10246,Sr(AlSe2)2,66,Cccm,orthorhombic,3D,3.1436,na,-203.2342033,309.9342833,2370.624977,2292.565453,57102.64433,24633.30833,0.854770737,1.130696783,0.385633624,0.385633624,-158.4636233,314.9423933
JVASP-10247,Rb2Li2SiO4,2,P-1,triclinic,3D,4.3803,6.5136,-112.5582467,407.8602367,748.5664521,317.2301715,59804.599,2050.788377,0.257464009,0.187118262,0.47298786,0.47298786,-115.77286,413.9333367
JVASP-10248,Rb2Li2GeO4,2,P-1,triclinic,3D,3.7052,na,-96.34195967,399.11402,628.9155203,340.4980736,68864.69467,2188.954473,0.198137048,0.200860517,0.375437569,0.375437569,-110.5360733,422.45334
JVASP-10249,CdSO4,63,Cmcm,orthorhombic,3D,3.1866,5.7178,-110.4583567,310.0383533,729.940839,960.6461958,60226.20767,10045.04213,0.24907512,0.520631276,0.434113541,0.434113541,-111.38859,330.4873733
